Iteration, Batch, Loss
7, 46, 1.2655019760131836
8, 0, 1.4199168682098389
8, 1, 1.1971362829208374
8, 2, 1.381010890007019
8, 3, 1.3244720697402954
8, 4, 1.3529421091079712
8, 5, 1.3185272216796875
8, 6, 1.3160024881362915
8, 7, 1.2145203351974487
8, 8, 1.3476085662841797
8, 9, 1.2118021249771118
8, 10, 1.3388032913208008
8, 11, 1.3319027423858643
8, 12, 1.3471741676330566
8, 13, 1.2657629251480103
8, 14, 1.3045955896377563
8, 15, 1.3354864120483398
8, 16, 1.280274748802185
8, 17, 1.284337043762207
8, 18, 1.2993063926696777
8, 19, 1.3635380268096924
8, 20, 1.3135994672775269
8, 21, 1.34108567237854
8, 22, 1.2425165176391602
8, 23, 1.3159502744674683
8, 24, 1.3050193786621094
8, 25, 1.3557709455490112
8, 26, 1.288508653640747
8, 27, 1.3668601512908936
8, 28, 1.3680146932601929
8, 29, 1.272830843925476
8, 30, 1.2923978567123413
8, 31, 1.251699447631836
8, 32, 1.2635818719863892
8, 33, 1.2319256067276
8, 34, 1.3145453929901123
8, 35, 1.358300805091858
8, 36, 1.3444395065307617
8, 37, 1.2577309608459473
8, 38, 1.2369470596313477
8, 39, 1.3140236139297485
8, 40, 1.4027401208877563
8, 41, 1.2933536767959595
8, 42, 1.3630625009536743
8, 43, 1.2552322149276733
8, 44, 1.348185420036316
8, 45, 1.3009098768234253
8, 46, 1.2621569633483887
9, 0, 1.2896695137023926
9, 1, 1.2689446210861206
9, 2, 1.3166303634643555
9, 3, 1.3383150100708008
9, 4, 1.2695668935775757
9, 5, 1.317628026008606
9, 6, 1.3350554704666138
9, 7, 1.2389841079711914
9, 8, 1.290657877922058
9, 9, 1.278910517692566
9, 10, 1.2200300693511963
9, 11, 1.2262675762176514
9, 12, 1.2248176336288452
9, 13, 1.2846894264221191
9, 14, 1.2909114360809326
9, 15, 1.2932090759277344
9, 16, 1.2626744508743286
9, 17, 1.3159817457199097
9, 18, 1.2308809757232666
9, 19, 1.3547075986862183
9, 20, 1.2716082334518433
9, 21, 1.393311858177185
9, 22, 1.314082384109497
9, 23, 1.3178331851959229
9, 24, 1.2531945705413818
9, 25, 1.3439865112304688
9, 26, 1.3373403549194336
9, 27, 1.1908128261566162
9, 28, 1.2182077169418335
9, 29, 1.230778455734253
9, 30, 1.3495440483093262
9, 31, 1.2338227033615112
9, 32, 1.2716299295425415
9, 33, 1.3367034196853638
9, 34, 1.3018922805786133
9, 35, 1.3552931547164917
9, 36, 1.2206915616989136
9, 37, 1.2954093217849731
9, 38, 1.2881311178207397
9, 39, 1.302614688873291
9, 40, 1.337041974067688
9, 41, 1.2705659866333008
9, 42, 1.2721714973449707
9, 43, 1.2899303436279297
9, 44, 1.3183419704437256
9, 45, 1.2856273651123047
9, 46, 1.2922841310501099
10, 0, 1.2501707077026367
10, 1, 1.1960002183914185
10, 2, 1.3097683191299438
10, 3, 1.2510391473770142
10, 4, 1.245694875717163
10, 5, 1.347991943359375
10, 6, 1.3790987730026245
10, 7, 1.2731342315673828
10, 8, 1.3012198209762573
10, 9, 1.2505159378051758
10, 10, 1.251251459121704
10, 11, 1.24322509765625
10, 12, 1.248854637145996
10, 13, 1.2820953130722046
10, 14, 1.3308391571044922
10, 15, 1.266147255897522
10, 16, 1.2652579545974731
10, 17, 1.2230678796768188
10, 18, 1.246412754058838
10, 19, 1.2354553937911987
10, 20, 1.291054129600525
10, 21, 1.1759626865386963
10, 22, 1.2847565412521362
10, 23, 1.316166639328003
10, 24, 1.2148182392120361
10, 25, 1.221889853477478
10, 26, 1.3504639863967896
10, 27, 1.3302547931671143
10, 28, 1.3188457489013672
10, 29, 1.328453779220581
10, 30, 1.2773834466934204
10, 31, 1.2070608139038086
10, 32, 1.3090698719024658
10, 33, 1.272681713104248
10, 34, 1.2116386890411377
10, 35, 1.254883050918579
10, 36, 1.2173020839691162
10, 37, 1.2999943494796753
10, 38, 1.2897437810897827
10, 39, 1.265230655670166
10, 40, 1.29777991771698
10, 41, 1.2358993291854858
10, 42, 1.3205963373184204
10, 43, 1.2704756259918213
10, 44, 1.2651252746582031
10, 45, 1.210127830505371
10, 46, 1.3012571334838867
11, 0, 1.2045040130615234
11, 1, 1.2852182388305664
11, 2, 1.2583589553833008
11, 3, 1.2824478149414062
11, 4, 1.2937289476394653
11, 5, 1.2591204643249512
11, 6, 1.2851481437683105
11, 7, 1.3585615158081055
11, 8, 1.1937594413757324
11, 9, 1.258874535560608
11, 10, 1.305679440498352
11, 11, 1.2895108461380005
11, 12, 1.251671314239502
11, 13, 1.2985033988952637
11, 14, 1.2575585842132568
11, 15, 1.221629023551941
11, 16, 1.2887969017028809
11, 17, 1.2868715524673462
11, 18, 1.2536449432373047
11, 19, 1.2790676355361938
11, 20, 1.2766962051391602
11, 21, 1.2672927379608154
11, 22, 1.327401876449585
11, 23, 1.2949992418289185
11, 24, 1.2866902351379395
11, 25, 1.2730807065963745
11, 26, 1.4088646173477173
11, 27, 1.2794592380523682
11, 28, 1.3634885549545288
11, 29, 1.2431777715682983
11, 30, 1.268523931503296
11, 31, 1.3140980005264282
11, 32, 1.3420528173446655
11, 33, 1.3167657852172852
11, 34, 1.2655577659606934
11, 35, 1.2944008111953735
11, 36, 1.2305972576141357
11, 37, 1.1797170639038086
11, 38, 1.3095307350158691
11, 39, 1.2245341539382935
11, 40, 1.2778834104537964
11, 41, 1.296812653541565
11, 42, 1.1908830404281616
11, 43, 1.2464674711227417
11, 44, 1.317445993423462
11, 45, 1.2614771127700806
11, 46, 1.3338440656661987
12, 0, 1.2323318719863892
12, 1, 1.1330773830413818
12, 2, 1.333303451538086
12, 3, 1.2949498891830444
12, 4, 1.2133599519729614
12, 5, 1.300826907157898
12, 6, 1.2609580755233765
12, 7, 1.1084773540496826
12, 8, 1.2553092241287231
12, 9, 1.316043496131897
12, 10, 1.2643719911575317
12, 11, 1.2505909204483032
12, 12, 1.2643476724624634
12, 13, 1.2363628149032593
12, 14, 1.1974314451217651
12, 15, 1.203534722328186
12, 16, 1.254966139793396
12, 17, 1.1437724828720093
12, 18, 1.223658561706543
12, 19, 1.244879126548767
12, 20, 1.3211393356323242
12, 21, 1.3104537725448608
12, 22, 1.2173084020614624
12, 23, 1.3453903198242188
12, 24, 1.3046201467514038
12, 25, 1.271841049194336
12, 26, 1.328407645225525
12, 27, 1.25812566280365
12, 28, 1.2318381071090698
12, 29, 1.2142233848571777
12, 30, 1.3189674615859985
12, 31, 1.2300430536270142
12, 32, 1.2428045272827148
12, 33, 1.2235158681869507
12, 34, 1.2551500797271729
12, 35, 1.3407902717590332
12, 36, 1.3914119005203247
12, 37, 1.28299081325531
12, 38, 1.290013313293457
12, 39, 1.2106237411499023
12, 40, 1.2431955337524414
12, 41, 1.2280880212783813
12, 42, 1.248131513595581
12, 43, 1.2749344110488892
12, 44, 1.3476834297180176
12, 45, 1.2794307470321655
12, 46, 1.3196542263031006
13, 0, 1.2567657232284546
13, 1, 1.266696810722351
13, 2, 1.270917534828186
13, 3, 1.2605127096176147
13, 4, 1.2549960613250732
13, 5, 1.2826237678527832
13, 6, 1.3163985013961792
13, 7, 1.2319934368133545
13, 8, 1.3316510915756226
13, 9, 1.2914214134216309
13, 10, 1.3620061874389648
13, 11, 1.2411739826202393
13, 12, 1.3088575601577759
13, 13, 1.2753642797470093
13, 14, 1.2483432292938232
13, 15, 1.2639418840408325
13, 16, 1.208148717880249
13, 17, 1.2801415920257568
13, 18, 1.2988687753677368
13, 19, 1.3417956829071045
13, 20, 1.2167530059814453
13, 21, 1.2885867357254028
13, 22, 1.2020524740219116
13, 23, 1.2559950351715088
13, 24, 1.2854098081588745
13, 25, 1.2789256572723389
13, 26, 1.163524866104126
13, 27, 1.2599202394485474
